grade,sub_grade_num,short_emp,emp_length_num,home_ownership,dti,purpose,payment_inc_ratio,delinq_2yrs,delinq_2yrs_zero,inq_last_6mths,last_delinq_none,last_major_derog_none,open_acc,pub_rec,pub_rec_zero,revol_util,bad_loans
D,0.0669193251076664,0,6,RENT,14.756748049545273,credit_card,14.667960671718127,0,1,1,1,1,2,0,1,48.24061118107768,0
A,0.4548420107954835,0,9,MORTGAGE,38.94815496300642,debt_consolidation,13.591677532796318,0,0,2,1,1,6,0,1,44.48518836299768,0
A,0.0812791048408877,0,5,MORTGAGE,9.835634722764889,car,5.15799861850553,1,0,0,1,1,3,0,1,86.77203842892318,1
D,0.5555405775930544,0,5,OWN,16.880738744948392,debt_consolidation,6.25658725483094,0,1,2,1,1,11,0,1,33.09377530586852,0
A,0.3187106138310993,1,6,RENT,38.804181782866806,debt_consolidation,4.796769016017865,0,0,0,1,1,7,1,0,32.94874918104832,0
F,0.8665839734041317,0,7,RENT,38.09681090703986,small_business,14.207699853463511,1,1,3,1,1,5,0,1,22.0967130580914,1
D,0.257114663004145,0,7,RENT,39.8029037699834,car,4.676934406475076,2,0,1,1,1,12,1,1,62.61022813654318,1
A,0.7839165096792028,0,3,RENT,22.40322406241732,car,13.108476684584634,0,0,4,1,1,12,0,1,16.46462048162396,0
F,0.2282519939623838,1,4,OWN,6.350437866751291,debt_consolidation,4.70849697409259,2,1,1,1,1,8,1,1,80.91877373197082,1
D,0.6620688274857435,0,3,MORTGAGE,11.587903630335273,debt_consolidation,3.324051668629425,1,1,1,1,1,9,1,1,8.651069458236972,1
B,0.668483396797394,1,4,OWN,10.893354533742038,medical,12.675283834536584,2,1,1,0,1,9,0,1,21.644527644363432,1
B,0.6006121327334464,0,0,MORTGAGE,29.57735776420595,medical,2.272220722416611,1,0,3,1,1,9,0,0,44.31820598562389,0
B,0.425458332634434,1,6,MORTGAGE,12.952580091887777,car,6.440993008335324,0,0,0,0,1,7,0,0,45.067769495544255,0
D,0.9528045855639408,0,7,MORTGAGE,11.172145548736768,car,9.797110634168538,0,1,1,1,1,11,2,1,55.16723971768368,0
G,0.1646702625073051,0,7,MORTGAGE,8.62656887812501,car,5.137099549866113,0,0,4,1,1,5,0,1,94.01150656558526,1
B,0.4828803124775178,0,6,RENT,8.197642801043072,home_improvement,8.66087015489116,0,1,0,1,1,4,0,1,73.63562546783672,0
C,0.5626178758311224,1,9,OWN,37.41805476322535,debt_consolidation,13.925595190106105,0,0,1,1,1,9,0,1,51.070443197273306,0
G,0.3272822704928646,0,6,RENT,36.45689572761708,medical,8.40053421588117,0,1,0,1,1,8,0,1,92.07169017441088,1
F,0.9022931648814236,0,1,RENT,7.87546388132285,home_improvement,6.857464824958829,0,1,1,0,1,5,0,1,86.83366401448127,1
D,0.5547464419653181,1,6,MORTGAGE,26.517188230174963,home_improvement,4.105622850133386,0,1,2,1,1,11,0,1,58.75842067668854,0
B,0.6358071562996935,0,10,RENT,20.624716043824392,home_improvement,5.192301149973151,0,0,2,0,0,8,0,1,49.16382422464369,0
D,0.7654385011797059,0,10,MORTGAGE,18.903645534505525,credit_card,7.359730545826506,0,0,0,1,0,5,0,1,33.388542651526535,0
C,0.1420945288477811,0,4,RENT,38.77082077690562,debt_consolidation,4.332207325620956,1,0,0,1,1,10,1,1,38.59663158444021,1
D,0.8121045388640898,1,2,OWN,10.289841379883976,car,8.766131499468562,1,0,8,1,1,4,1,1,67.22094640196481,1
C,0.7875268362820615,0,0,RENT,34.74270248183813,small_business,5.216240108817543,1,1,1,1,1,10,2,1,73.59760750253338,1
E,0.6770406851477173,0,4,RENT,27.29374929512068,car,2.5135995759457828,0,1,2,1,1,8,0,1,69.37204827036112,0
D,0.5225091280295519,0,7,RENT,29.167721693900333,small_business,4.280771560052228,1,0,3,1,1,13,0,1,70.12400322639579,1
B,0.5231794624653812,0,5,MORTGAGE,23.313781766808688,credit_card,5.980725425877486,0,1,2,0,1,9,0,1,64.73962627971683,0
B,0.943335020474734,1,2,RENT,31.32731001212492,home_improvement,3.1704241978998797,0,1,2,1,1,9,0,1,24.329492966163503,1
D,0.2112545938214654,0,1,RENT,21.22705704954676,credit_card,8.846400573730394,0,1,2,1,1,7,0,1,39.55351752977481,0
D,0.7553879379268905,1,7,RENT,33.879163226986805,credit_card,12.305722592849536,1,1,3,0,1,9,0,0,66.27199737595183,1
C,0.9545282446686152,0,0,RENT,28.653077369867187,medical,2.277655415834431,0,1,5,1,1,7,0,1,93.69659785975746,0
B,0.6610529496556177,1,5,RENT,5.83819738241365,small_business,13.832991455832182,0,1,3,1,1,12,0,1,98.8892301503236,0
A,0.6942649300626135,0,0,MORTGAGE,10.42425165487455,car,10.493670500600462,0,1,1,0,1,6,0,0,51.9978263634676,0
B,0.7000833089614766,0,2,MORTGAGE,26.909925113816936,medical,12.143839371356624,0,1,1,1,1,13,1,1,69.28204504933238,0
C,0.1702146348820048,1,10,OWN,9.25273126121018,car,10.085959205093005,0,1,3,1,1,8,0,1,86.23679223035727,0
B,0.2839050625182363,0,5,MORTGAGE,22.68059528211314,home_improvement,13.397776013723284,0,0,3,1,1,6,0,1,21.8648560299905,0
C,0.9083886861926505,1,1,OWN,29.09270853506184,small_business,6.960138437783742,0,0,4,1,0,12,0,1,59.43459717191863,0
B,0.7221122295769582,1,6,MORTGAGE,20.10037507321653,medical,6.104451925002429,0,1,2,1,1,5,0,1,4.70335983934651,0
B,0.2921830389509202,1,5,MORTGAGE,8.9240083971909,small_business,8.34830327219963,0,1,4,1,1,12,0,0,20.65023085964888,0
B,0.9979093217902862,0,1,OWN,30.56325018962687,car,3.450116925143738,0,1,2,1,1,9,0,1,1.3969156753714018,0
A,0.7255079394869179,1,6,RENT,28.786204795885045,debt_consolidation,4.412727354596061,1,0,1,1,0,6,1,1,38.15062930117181,1
A,0.7145307040705502,0,5,OWN,14.790238615540057,home_improvement,12.641338655338371,0,1,0,0,0,12,0,0,9.945830772347133,0
D,0.8839183964342784,0,1,MORTGAGE,30.851651650024834,car,14.337039906790228,1,0,2,1,1,7,0,1,69.30944025926325,1
A,0.2472057037106494,0,5,MORTGAGE,15.858442762298878,car,4.873327712585173,1,1,1,1,1,6,0,1,50.77215422336793,1
E,0.7984508213630899,1,4,MORTGAGE,35.079657704659205,home_improvement,5.173108880127026,0,1,1,1,1,9,0,0,17.81809782631887,1
A,0.5217271014171069,0,4,MORTGAGE,8.736664801596788,medical,14.35657610881179,0,0,3,1,1,15,0,1,23.766494747893702,0
C,0.228772546879711,1,4,MORTGAGE,6.9441293300932925,medical,7.509232309148047,0,0,3,1,1,7,0,1,27.003193648263814,0
F,0.5898492906860833,0,6,MORTGAGE,17.382818735246346,medical,5.039272869666844,1,0,2,0,1,5,0,1,88.60000124877388,1
D,0.3290956882331446,0,4,RENT,12.86829293982084,home_improvement,12.35189993665932,0,0,3,1,1,9,2,1,59.69691372763728,0
C,0.0757420620715904,0,9,MORTGAGE,39.303749530933246,home_improvement,5.190257500834003,0,1,2,1,1,10,0,0,38.99880944439965,0
B,0.3167196510086107,1,6,OWN,39.158011212079046,medical,5.370362804554336,0,1,1,1,1,16,2,1,75.59250164906555,0
C,0.467658124188041,0,6,RENT,16.86216624573924,car,5.563940316698698,1,1,1,1,0,5,2,0,61.4201374929792,0
E,0.1008748929888373,0,0,OWN,12.953014383929808,debt_consolidation,11.83723372254343,1,0,1,1,1,9,0,0,53.857903098224845,0
A,0.2946489030625004,0,10,MORTGAGE,20.75519068495212,car,13.489695885018754,0,0,1,1,1,11,0,0,49.625146472205984,0
C,0.2369920941185759,1,8,RENT,31.851341943351407,credit_card,12.96288790783666,0,0,0,1,1,6,0,1,84.80539448298958,1
A,0.7772363724766851,0,8,MORTGAGE,16.943876477471715,debt_consolidation,9.844505945071097,1,1,0,1,1,10,0,0,21.77047040599608,0
G,0.0143799375361319,0,9,MORTGAGE,19.892356334341656,debt_consolidation,13.599483707747613,0,0,2,1,1,6,0,1,46.679266220303326,0
B,0.3924095915921921,0,4,OWN,39.51957703489006,credit_card,8.620313846987022,0,1,6,1,1,9,0,1,15.487994206254108,0
E,0.0274902955607935,0,5,MORTGAGE,30.00671802676712,credit_card,6.718574262036862,0,1,2,1,1,13,1,1,99.79187474126348,1
C,0.2955230655853759,0,4,RENT,22.29188641907432,home_improvement,10.404446117694077,1,1,1,1,1,3,0,1,8.984217592056842,1
D,0.2277445380517727,0,7,RENT,38.97759868692469,home_improvement,12.648611608338896,0,1,3,1,1,10,0,1,44.78734461407471,0
G,0.7385313981374708,0,5,MORTGAGE,8.903229729859012,medical,9.492468087762116,0,1,1,1,1,9,1,1,33.76968751581542,0
D,0.0995457821861249,0,7,RENT,22.934872416621857,debt_consolidation,7.603204359345813,1,1,7,1,1,8,0,0,49.85567162551876,1
B,0.0630751743429667,0,1,RENT,24.470192165025853,car,1.973428065737976,0,1,0,1,1,14,0,1,37.63929293996191,0
A,0.7684093647972328,0,1,RENT,21.949377818324,small_business,8.974105398454764,0,1,2,0,1,10,0,1,34.774318193198454,0
D,0.4846893606723691,1,3,RENT,23.23825106874141,debt_consolidation,4.499922207101106,0,1,2,1,1,12,1,0,97.3493627868179,0
G,0.044650647746475,0,6,MORTGAGE,23.45213240057241,home_improvement,8.505467770178635,0,0,0,0,0,10,0,1,23.60410402080958,0
C,0.5450601818660262,0,1,MORTGAGE,27.40843477444305,home_improvement,9.942564178936818,0,1,2,1,1,7,0,1,34.078957345739845,0
B,0.0207113950071129,0,2,MORTGAGE,12.846177816026495,debt_consolidation,5.887913035466869,1,0,1,1,1,8,0,1,41.88910034410218,0
C,0.3582151226701169,0,6,RENT,39.02080658166269,medical,2.153417046524706,0,0,1,0,1,9,0,1,52.9857885852577,1
A,0.4534119060802515,0,9,RENT,33.14043783732008,home_improvement,11.275290682406226,2,1,1,0,1,14,1,1,81.85055745011832,1
F,0.7875600617410629,0,2,MORTGAGE,37.92256155296551,home_improvement,7.378540793897928,2,1,3,1,1,13,0,1,93.17784230509534,1
C,0.0597293840639714,1,6,MORTGAGE,9.934944389524416,small_business,13.01992100552586,0,1,3,1,1,6,0,0,17.125610894314757,0
A,0.1603836678747308,0,7,RENT,19.795377531100904,medical,5.681651129832113,0,0,3,1,1,7,1,1,26.33316293938429,0
B,0.6822562861942337,1,1,MORTGAGE,28.523548437474464,debt_consolidation,14.782303034462888,0,1,2,1,1,5,0,1,64.61160620118525,0
E,0.2964045447538166,1,5,OWN,26.53696731798212,medical,12.884514479435335,2,1,3,1,1,5,0,1,63.98658378144568,1
C,0.4593463713273413,1,5,RENT,20.431758369675777,car,5.394120610463055,1,1,1,1,1,7,0,0,71.64707606021763,0
C,0.1861933796275896,0,1,RENT,39.75332864371389,home_improvement,5.250309099312484,0,1,2,1,1,7,0,1,66.77252073756954,0
F,0.8288538735018384,1,1,OWN,24.880213356424925,small_business,10.751969328951064,1,1,1,1,1,7,0,1,36.03720700662853,1
D,0.3578780693844015,0,6,RENT,35.67748688652622,credit_card,12.72438022986787,0,1,3,0,1,7,0,0,33.297660944149975,0
D,0.4632968148393157,1,5,MORTGAGE,9.355693828795768,medical,4.034080938446366,1,0,4,1,1,10,0,1,2.29986287066124,1
G,0.7968077588463909,0,5,MORTGAGE,21.87504654591252,home_improvement,14.057264813695117,0,0,2,1,1,7,0,0,57.17390801857483,0
D,0.6077227478371263,0,5,MORTGAGE,12.493404124009167,car,11.315281696951669,1,1,1,1,1,7,1,0,25.93499056594738,0
D,0.922781384421876,0,7,MORTGAGE,12.108258793900037,home_improvement,4.409638462419775,1,1,2,1,1,4,1,1,44.50429344301252,0
G,0.0412474679076085,0,5,RENT,20.431817541850783,small_business,9.254728285831602,0,1,5,1,1,10,0,1,66.31262112545944,1
B,0.6408092818042069,0,2,MORTGAGE,10.561633931066371,small_business,2.0990984649585176,2,1,2,1,1,5,1,0,42.19381748027009,1
E,0.0563773121979087,0,1,MORTGAGE,30.137079574925128,small_business,7.37329628485074,1,1,0,1,1,12,0,1,92.24887793211994,1
C,0.3863991809852323,0,2,OWN,15.80317411875063,home_improvement,1.2183946379069202,0,1,1,1,1,8,0,1,89.23972911017263,0
D,0.1186557031962523,0,5,MORTGAGE,12.511283897728266,car,7.841137498299527,1,1,1,1,1,5,0,0,92.92017915357154,1
C,0.4253552743286837,0,8,RENT,38.39817487859301,car,12.888137243457734,1,1,4,1,1,3,2,1,59.49633803536663,1
F,0.4027188558884941,0,8,MORTGAGE,12.954564963591958,debt_consolidation,8.972201708429315,1,1,2,1,1,9,0,1,33.5185256917423,1
G,0.8050140503033796,1,4,MORTGAGE,37.53928994262324,medical,11.040843065248913,0,1,3,1,0,3,1,1,43.30671338891027,1
C,0.1229368320687279,0,2,RENT,25.23502091401312,home_improvement,2.5732109785566823,1,1,1,1,1,11,0,1,62.14061809392595,0
B,0.8065178093686215,0,5,MORTGAGE,23.28586479286624,medical,14.334008287733589,0,1,3,1,1,8,1,1,18.850258401150743,0
C,0.7463019526219385,0,3,RENT,22.28669818941172,small_business,3.671754632549664,1,1,0,0,1,11,1,1,34.25485570253068,0
C,0.7385498743701094,0,2,RENT,18.05633904941701,car,8.857205008667629,1,1,2,1,1,3,0,1,87.73413188679211,1
D,0.3181053928703302,0,4,RENT,34.36532394537328,credit_card,5.798480889082413,1,1,5,0,1,6,0,0,39.25569101272286,1
G,0.5503649649757396,1,7,RENT,29.349049236866247,credit_card,10.876968090923464,1,1,3,1,1,8,0,1,49.88195321556519,1
D,0.3315337138940906,0,5,MORTGAGE,28.888761515193423,small_business,4.854659953517785,0,1,2,1,1,10,0,1,32.213718513813575,0
G,0.2040293925610764,0,9,OWN,26.941455938687778,small_business,6.70544167137809,0,0,1,0,1,5,0,0,97.42031547446656,1
A,0.8201247205374044,0,5,RENT,11.910856211676052,debt_consolidation,11.23879305611119,0,1,2,1,1,9,0,1,60.97967420797444,0
G,0.0956635864188416,1,3,MORTGAGE,31.94045562756641,car,13.176850263702237,1,1,3,1,0,8,1,1,11.531612532652858,1
C,0.7029048950271684,1,7,MORTGAGE,38.47681864157337,medical,11.906842522395134,1,0,3,1,0,2,1,0,69.89453101105468,1
D,0.1865110125040597,0,5,OWN,32.6953218657123,car,2.3838124719570084,0,0,2,1,1,8,0,1,41.36764534922104,0
E,0.4620129017662076,0,3,OWN,39.8770802802534,small_business,13.77137834354369,0,1,1,1,1,10,0,1,61.40946503138469,0
D,0.2058320420385422,0,4,OWN,35.30515162663657,home_improvement,5.100902444228194,2,1,3,0,1,7,1,0,23.664972010657003,1
E,0.4888303388539176,0,7,MORTGAGE,10.532247681163316,home_improvement,7.653976636307108,0,1,1,0,0,6,1,0,72.8698484312211,0
D,0.3049955183026858,1,1,MORTGAGE,35.046400429265766,car,3.7384784585636055,2,0,2,1,1,9,0,1,26.37465909644689,1
F,0.3774977091375225,0,3,MORTGAGE,31.946177093986453,car,14.081908210001874,0,1,1,1,1,10,0,1,89.6791607465505,1
C,0.8948736121477824,1,10,RENT,18.656100533593968,medical,12.635548705731017,1,1,5,0,1,7,0,1,55.32058240349522,0
C,0.4433200064790801,0,5,OWN,19.257688469087245,car,3.806501027525973,0,1,0,1,1,7,1,1,94.5735724649688,0
D,0.0118865437082201,1,4,MORTGAGE,21.67663465996359,debt_consolidation,6.848747420040641,1,1,2,1,1,10,0,1,50.001239815315216,1
D,0.6602352449575712,0,10,MORTGAGE,32.34041157672503,small_business,10.99212438642679,1,1,2,1,1,8,0,1,97.3404182501576,1
B,0.4871554683587173,0,6,MORTGAGE,24.953257594670653,debt_consolidation,5.131948576727703,2,0,1,1,1,6,0,0,13.607770619129932,0
C,0.862941179548121,0,4,MORTGAGE,12.437933990716934,small_business,7.836492209691731,1,1,0,0,1,8,0,1,61.70292175014195,1
C,0.8394385186432076,0,6,RENT,26.35901454917972,debt_consolidation,4.8369479628114105,1,1,1,0,1,9,0,1,86.73123045421937,1
A,0.9419049728383292,0,5,RENT,16.71041975691649,car,9.609935287486795,0,1,2,1,1,8,0,1,33.58028242752027,0
C,0.5227612716965618,1,5,RENT,28.031781580708124,credit_card,7.209896184168102,1,1,0,1,1,6,0,1,9.971363003590405,0
E,0.0029665963950478,0,8,RENT,22.365152068089674,credit_card,8.5608144278415,0,1,7,1,1,7,0,1,65.58489895306766,0
B,0.4793620703707929,0,2,MORTGAGE,10.848783260481408,credit_card,10.19675954587871,0,0,5,0,1,12,0,0,5.623480244433143,0
D,0.9169679107646648,0,5,MORTGAGE,13.31362619491131,debt_consolidation,6.025032081912084,0,1,3,1,1,11,0,1,59.731774155260055,0
A,0.7769234464460102,1,2,OWN,20.60673426050625,home_improvement,6.630825478229488,0,1,0,1,1,10,1,0,53.32880426152532,0
B,0.7473576951962617,0,0,MORTGAGE,37.66087395149989,debt_consolidation,6.21917952260752,0,1,1,1,1,9,0,1,85.53887429348839,0
D,0.9861411548617056,0,7,OWN,30.248443246509108,small_business,4.011824038256808,0,1,3,1,1,9,0,1,14.029414870248724,0
